keyword,intent
citalopram vs prozac,Commercial
who is the oldest football player,Informational
t mobile town east,Navigational
starbucks,Navigational
tech crunch,Navigational
screen protector,Commercial
chinese food delivery near me,Local
elevenlabs,Navigational
llama,Informational
tire patch kit,Transactional
cat shelves,Transactional
bx headphones,Transactional
bx headphones,Transactional
duffel bags,Commercial
best cat ear headphones,Commercial
best food,Commercial
facebook,Navigational
facebook login,Navigational
twitter,Navigational
Iphone 13 prices,Navigational
t mobile town east,Transactional
Iphone 13 prices,Transactional
difference between affect and effect,Informational
Andrew NG,Informational
Barack Obama,Informational
weather,Navigational
Food shops around me,Local
Best hotels in my area,Local
Nearby saloons,Local
Places to visit nearby,Local
Mission Immpossible,Transactional
Mission Immpossible,Informational
Who is spiderman,Informational
bx headphones,Informational
bx headphones,Informational
bx headphones,Informational
ebay,Navigational
amazon,Navigational
spotify,Navigational
ibm,Navigational
pudding recepie,Informational
pudding recepie,Informational
pudding recepie,Informational
pudding recepie,Informational
pudding recepie,Informational
band manager download,Informational
band manager download,Informational
Fast and The Furious,Informational
Fast and The Furious,Informational
Fast and The Furious,Informational
music industry,Informational
Fast and The Furious,Informational
Fast and The Furious,Informational
band manager download,Informational
band manager download,Informational
band manager download,Informational
Best food,Commercial
Buy camera phones,Commercial
music industry,Commercial
music industry,Commercial
music industry,Commercial
music industry,Commercial
bollywood industry,Commercial
best headphones swimming,Commercial
best headphones swimming,Commercial
best headphones swimming,Commercial
finance manager salary,Commercial
finance manager salary,Commercial
finance manager salary,Commercial
manager salary,Commercial
programmer salary,Commercial
lawyer salary,Commercial
sneakers amazon,Navigational
sneakers amazon,Transactional
nike shoes,Navigational
nike shoes,Transactional
plumber in arizona,Local
plumber in canada,Local
saloons in nyc,Local
